Unique ID,inventory_year,company_proponent,project_name,province,sector,company_type,group,cleantech,opening inventory flag,freshman flag,graduate flag,dropout flag,construction flag,planned flag,size_bin
114,2018,NWP Coal Canada Ltd.,Crown Mountain Coal Project,BC,Mining,Private,Coal,No,1,0,0,1,0,1,$100M - $499M
116,2018,Innergex Renewable Energy Inc.,Big Silver Creek Hydroelectric Project,BC,Energy,Private,Clean Electricity,Yes,1,0,1,0,0,0,<$100M
126,2018,Connacher Oil & Gas Ltd.,Great Divide,AB,Energy,Private,Oil & Gas - Upstream,No,1,0,0,0,0,1,$500M - $999M
130,2018,Corporation Lithium Elements Critiques,Rose Lithium-Tantalum Mine,QC,Mining,Private,Critical Mineral,Yes,1,0,0,0,0,1,$100M - $499M
133,2018,Innergex Renewable Energy Inc.,Upper Lillooet River Hydroelectric Project,BC,Energy,Private,Clean Electricity,Yes,1,0,1,0,0,0,$500M - $999M
135,2018,Innergex Renewable Energy Inc.,Boulder Creek Hydroelectric Project,BC,Energy,Private,Clean Electricity,Yes,1,0,1,0,0,0,<$100M
136,2018,Innergex Renewable Energy Inc.,North Creek Hydroelectric Project,BC,Energy,Private,Clean Electricity,Yes,1,0,1,0,0,0,<$100M
140,2018,Canadian Natural Resources Limited,Pike (Formely Kirby),AB,Energy,Private,Oil & Gas - Upstream,No,1,0,0,0,0,1,"$5,000M+"
141,2018,Devon Canada Corp.,Walleye,AB,Energy,Private,Other,Yes,1,0,0,0,0,1,$100M - $499M
148,2018,NSP Maritime Link Inc (Emera Affiliate),Maritime Link Transmission Line,Multi,Energy,Private,Trans & Distr,No,1,0,1,0,0,0,"$1,000M - $4,999M"
153,2018,Enbridge Inc.,Wood Buffalo Crude Oil Pipeline,AB,Energy,Private,Trans & Distr,No,1,0,1,0,0,0,"$1,000M - $4,999M"
154,2018,Enbridge Inc.,Enbridge Edmonton Terminal (South) Expansion,AB,Energy,Private,Oil & Gas - Downstream,No,1,0,1,0,0,0,$100M - $499M
162,2018,Enhance Energy Inc.,CO2 Pipeline (Alberta Carbon Trunk Line),AB,Energy,Private,CCUS,Yes,1,0,0,0,0,0,$500M - $999M
165,2018,WindRiver Power Corp.,Kinskuch Hydroelectric Project,BC,Energy,Private,Clean Electricity,Yes,1,0,0,0,1,1,$100M - $499M
170,2018,"Exxon Mobil Canada Properties, Chevron Canada Ltd., PetroCanada, Norsk Hydro Canada Oil & Gas Inc., Provincial Government",Hebron-Ben Nevis Offshore Oil,NL,Energy,Public,Oil & Gas - Upstream,No,1,0,1,0,0,0,"$5,000M+"
171,2018,"ExxonMobil, Petro-Canada, Chevron, Murphy Oil, Canada Hibernia Holding Corporation (Federal Government), StatoilHydro, Nalcor EnergyoNOil and Gas (Provincial Government)",Hibernia Southern Extension,NL,Energy,Private,Clean Electricity,Yes,1,0,1,0,0,0,"$1,000M - $4,999M"
182,2018,FORCE,Tidal Demonstration Project,NS,Energy,Private,Clean Electricity,Yes,1,0,1,0,0,0,$100M - $499M
186,2018,Fortune Minerals Limited,NICO Cobalt-Gold-Bismuth Mine,NT,Mining,Private,Precious Metal,No,1,0,0,0,0,1,$500M - $999M
187,2018,Fortune Minerals Ltd.,Saskatchewan Metals Processing Plant,SK,Mining,Private,Critical Mineral,Yes,1,0,0,0,0,1,$100M - $499M
188,2018,Fosthall Creek Power LP,Fosthall Creek Hydropower Project,BC,Energy,Private,Clean Electricity,Yes,0,1,0,0,0,1,<$100M
198,2018,Government of PEI,Electricity Transmission Cable,PE,Energy,Public,Trans & Distr,No,1,0,1,0,0,0,$100M - $499M
204,2018,Grizzly Oil Sands ULC,May River,AB,Energy,Private,Oil & Gas - Upstream,No,1,0,0,0,0,1,$100M - $499M
207,2018,Harvest Operations Corp.,BlackGold Oil Sands Project,AB,Energy,Private,Oil & Gas - Upstream,No,1,0,0,0,0,1,$500M - $999M
208,2018,Hawkeye Energy Corp.,Hawkeye Green Energy Grid Project,BC,Energy,Private,Trans & Distr,No,1,0,0,0,0,1,$100M - $499M
209,2018,HD Mining International Ltd.,Murray River Coal Project,BC,Mining,Private,Coal,No,1,0,0,0,0,1,$500M - $999M
215,2018,Husky Energy Inc.,White Rose Expansion,NL,Energy,Private,Other,Yes,1,0,0,0,0,0,"$1,000M - $4,999M"
216,2018,Husky Energy,Labrador Natural Gas Exploration,NL,Energy,Private,Oil & Gas - Upstream,No,1,0,0,1,0,0,$100M - $499M
219,2018,Hydro-Quebec,Complexe hydroao lectrique La Romaine,QC,Energy,Public,Clean Electricity,Yes,1,0,0,1,0,0,"$5,000M+"
220,2018,Hydro-Quebec,Renovation de groupes a la centrale electrique Beauharnois,QC,Energy,Public,Clean Electricity,Yes,1,0,0,0,1,0,"$1,000M - $4,999M"
235,2018,Japan Canada Oil Sands Limited (JACOS)/Nexen Inc.,Hangingstone (JACOS),AB,Energy,Private,Oil & Gas - Upstream,No,1,0,1,0,1,0,$500M - $999M
236,2018,K & S Potash Canada (Aktiengesellschaft),Bethune,SK,Mining,Private,Critical Mineral,Yes,1,0,1,0,0,0,"$1,000M - $4,999M"
238,2018,Karnalyte Resources Inc,Wynyard Potash Project,SK,Mining,Private,Precious Metal,No,1,0,0,0,0,0,$500M - $999M
241,2018,Keyera Facilities Income Fund (Keyera),NGL Storage Facility Expansion,AB,Energy,Private,"DER, Storage, EV",Yes,1,0,0,1,0,0,<$100M
242,2018,Kinder Morgan,Trans Mountain Pipeline Expansion (TMX),Multi,Energy,Private,Trans & Distr,No,1,0,0,0,1,1,"$5,000M+"
243,2018,Kinder Morgan Canada,Edmonton Terminal Storage Expansion Part 2,AB,Energy,Private,"DER, Storage, EV",Yes,1,0,0,0,0,1,$100M - $499M
245,2018,Kitamaat Renewable Energy Corporation,Crab/Europa Hydroelectric Project,BC,Energy,Private,Clean Electricity,Yes,0,1,0,0,0,1,$100M - $499M
247,2018,Koch Industries,Muskwa,AB,Energy,Private,Other,Yes,1,0,0,0,0,1,$500M - $999M
260,2018,Manitoba Hydro,Bipole III Transmission Line and Converter Stations (Riel and Keewatinohk),MB,Energy,Public,Trans & Distr,No,1,0,1,0,0,0,"$5,000M+"
261,2018,Manitoba Hydro,Keeyask Generating Station,MB,Energy,Public,Other,Yes,1,0,0,0,0,0,"$5,000M+"
266,2018,MAXIM Power Corp.,HR Milner Generating Station Expansion,AB,Energy,Private,Other,Yes,1,0,0,0,1,0,"$1,000M - $4,999M"
269,2018,Meadow Lake Tribal Council,Biomass Generator,SK,Energy,Private,Waste Biomass,Yes,0,1,0,0,1,1,<$100M
273,2018,Mao taux BlackRock Inc.,Black Rock,QC,Mining,Private,Critical Mineral,Yes,1,0,0,0,0,1,$500M - $999M
276,2018,Mine Arnaud Inc.,Arnaud Apatite Mine,QC,Mining,Private,Precious Metal,No,1,0,0,0,0,1,$500M - $999M
281,2018,Mosaic Potash,Potash Mine Expansion,SK,Mining,Private,Precious Metal,No,1,0,0,0,0,0,"$1,000M - $4,999M"
283,2018,Mount Hays Wind Farm Limited Partnership,Mount Hays Wind Farm,BC,Energy,Private,Clean Electricity,Yes,1,0,0,0,1,1,Unknown
290,2018,Nalcor Energy,Muskrat Falls Hydroelectric Generating Station and Labrador Transmission Assets,NL,Energy,Private,Trans & Distr,No,1,0,0,0,0,0,"$5,000M+"
