unique_id,year,company,project,loation,province,status,sector,project_cost,latitude_1,longitude_1,company_type,group,cleantech,abbreviation,planning,construction,active,graduate,dropout
19,2020,"Alberta Renewable Power Limited Partnership (uARPLPu), a newly formed joint venture between Alberta Wind Energy Corporation (uAWECu) and Boralex",Windy Point Wind Farm,Southern Alberta,AB,Announced & Planning,Energy,150,49.485078,-113.944028,Private,Clean Electricity,Yes,EN-CLEL,1,0,0,0,1
21,2017,Champion Iron Limited,Kamistiatusset (Kami),Labrador West,NL,Approved,Mining,1196,52.824,-67.027,Private,Base Metal,No,MIN-BM,1,0,1,0,0
21,2018,Champion Iron Limited,Kamistiatusset (Kami),Labrador West,NL,Approved,Mining,999.4,52.824,-67.027,Private,Base Metal,No,MIN-BM,1,0,1,0,0
21,2019,Champion Iron Limited,Kamistiatusset (Kami),Labrador West,NL,Approved,Mining,1276,52.824,-67.027,Private,Base Metal,No,MIN-BM,1,0,1,0,0
21,2022,Champion Iron Limited,Kamistiatusset (Kami),Labrador West,NL,Approved,Mining,1276,52.824,-67.027,Private,Base Metal,No,MIN-BM,1,0,1,0,0
21,2023,Champion Iron Limited,Kamistiatusset (Kami),Labrador West,NL,Approved,Mining,1276,52.824,-67.027,Private,Base Metal,No,MIN-BM,1,0,1,0,0
21,2024,Champion Iron Limited,Kamistiatusset (Kami),Labrador West,NL,In Review,Mining,3864,52.824,-67.027,Private,Base Metal,No,MIN-BM,1,0,1,0,0
22,2021,Kinross Gold Corp. (formerly Rockcliff Metals Corp.),Snow Lake,120 km E of Flin Flon,MB,Announced & Planning,Mining,96.1,54.91,-100.031,Private,Critical Mineral,Yes,MIN-CM,1,0,1,0,0
22,2022,Kinross Gold Corp. (formerly Rockcliff Metals Corp.),Snow Lake,120 km E of Flin Flon,MB,Announced & Planning,Mining,81,54.91,-100.031,Private,Critical Mineral,Yes,MIN-CM,1,0,1,0,0
22,2023,Kinross Gold Corp. (formerly Rockcliff Metals Corp.),Snow Lake,120 km E of Flin Flon,MB,Announced & Planning,Mining,81,54.91,-100.031,Private,Critical Mineral,Yes,MIN-CM,1,0,1,0,0
22,2024,Kinross Gold Corp. (formerly Rockcliff Metals Corp.),Snow Lake,120 km E of Flin Flon,MB,Announced & Planning,Mining,81,54.91,-100.031,Private,Critical Mineral,Yes,MIN-CM,1,0,1,0,0
26,2017,Alouette,Expansion d'usine (aluminium),Sept-eles,QC,Announced & Planning,Mining,2000,50.209428,-66.382828,Private,Base Metal,No,MIN-BM,1,0,1,0,0
26,2021,Rio Tinto Group,Alouette Smelter,Sept-eles,QC,Under Construction,Mining,474,50.209428,-66.382828,Private,Base Metal,No,MIN-BM,0,1,0,1,0
27,2017,Alta Energy Corp.,Lower Wood River Hydropower Project,Mica,BC,Announced & Planning,Energy,144,52.008661,-118.563766,Private,Clean Electricity,Yes,EN-CLEL,1,0,1,0,0
27,2018,Alta Energy Corp.,Lower Wood River Hydropower Project,Mica,BC,Announced & Planning,Energy,144,52.008661,-118.563766,Private,Clean Electricity,Yes,EN-CLEL,1,0,1,0,0
27,2019,Alta Energy Corp.,Lower Wood River Hydropower Project,Mica,BC,Announced & Planning,Energy,144,52.0087,-118.5638,Private,Clean Electricity,Yes,EN-CLEL,1,0,1,0,0
27,2020,Alta Energy Corp.,Lower Wood River Hydropower Project,Mica,BC,In Review,Energy,144,52.008661,-118.563766,Private,Clean Electricity,Yes,EN-CLEL,1,0,1,0,0
