Unique ID,company,project,province,company_type,start_year,end_year,reporting_years,start_status,end_status,current_survival,end_success,project_cost,cost_percentile,latitude_1,longitude_1,sector,group,cleantech,abbreviation,greenfield_flag,FOAK_flag
3629,NOVA Gas Transmission Ltd.,2019 NOVA NGTL Expansion (Montney and Duvernay Basins),AB,Private,2018,2020,3,In Review,Under Construction,0,1,2400,0.908,55.544058,-119.770258,Energy,Other,Yes,EN-OTH,0,0
3630,Field Upgrading,CleanSEAS Demonstration Plant,AB,Private,2018,2022,5,Announced & Planning,Under Construction,0,1,139,0.424,53.764675,-113.128664,Energy,Waste Biomass,Yes,EN-BIO,1,1
3631,Gen III Oil Corp.,Bowden Re-refinery,AB,Private,2018,2021,4,Announced & Planning,Announced & Planning,0,0,90,0.328,51.953346,-114.021738,Energy,Oil & Gas - Downstream,No,EN-OG-D,1,0
3632,Old Elm Wind Farm,Alberta Wind Energy Corp.,AB,Private,2018,2021,4,Announced & Planning,Announced & Planning,0,0,250,0.534,49.332147,-112.914147,Energy,Clean Electricity,Yes,EN-CLEL,1,0
3633,Tidewater Midstream,Dimsdale Gas Project,AB,Private,2018,2020,3,Announced & Planning,Announced & Planning,0,0,200,0.49,55.191115,-118.922316,Energy,Other,Yes,EN-OTH,1,0
3634,Capital Power,Whitla Wind Facility,AB,Private,2018,2019,2,Announced & Planning,Under Construction,0,1,325,0.591,49.610821,-111.2035,Energy,Clean Electricity,Yes,EN-CLEL,1,0
3635,Tidewater Midstream/TransAlta,Tidewater/TransAlta Gas Pipeline,AB,Private,2018,2020,3,Announced & Planning,Announced & Planning,0,0,150,0.441,53.179714,-115.750652,Energy,Trans & Distr,No,EN-T&D,1,0
3636,Imperial Oil Ltd.,Kearl Debottlenecking Expansion,AB,Private,2018,2020,3,Announced & Planning,Announced & Planning,0,0,563,0.705,57.386039,-111.074988,Energy,Other,Yes,EN-OTH,0,0
3637,Keyera Corp.,North Wapiti Pipeline System,AB,Private,2018,2020,3,Approved,Approved,0,0,120,0.388,55.070186,-119.111522,Energy,Trans & Distr,No,EN-T&D,1,0
3638,Kirkland Lake Gold Ltd.,Macassa Expansion,ON,Private,2018,2023,6,Announced & Planning,Under Construction,0,1,438,0.653,48.13561,-80.07181,Mining,Other,No,MIN-OTH,0,0
3642,Manitoba Hydro,Reenders Station,MB,Public,2018,2022,5,Approved,Under Construction,0,1,46.8,0.206,49.8951,-97.1384,Energy,Clean Electricity,Yes,EN-CLEL,1,0
3645,Equinor Canada,Bay du Nord offshore oil site,NL,Private,2018,2022,5,Announced & Planning,Approved,0,0,12000,0.98,47.9,-46.7,Energy,Oil & Gas - Upstream,No,EN-OG-U,1,0
3646,Chaudire Hydro North LP,Gatineau No. 1 Rehabilitation/Capacity Expansion,ON,Public,2018,2018,1,Announced & Planning,Announced & Planning,0,0,30,0.145,45.419797,-75.721209,Energy,Other,Yes,EN-OTH,0,0
4000,Hydro One,Northwest Bulk Transmission Line Waasigan Transmission Line,ON,Public,2019,2024,6,Announced & Planning,In Review,1,0,1200,0.828,0,0,Energy,Trans & Distr,No,EN-T&D,1,0
4001,Hydro One,Hawthorne to Merivale transmission upgrades (Planned),ON,Public,2020,2024,5,Announced & Planning,Under Construction,1,1,24.1,0.122,45.392172,-75.608256,Energy,Trans & Distr,No,EN-T&D,0,0
