unique_id,company,project,loation,province,status,sector,project_cost,latitude_1,longitude_1,company_type,group,entry_year,entry_status,last_year,last_status,reporting_years,active,graduate,dropout,success_flag,first_construction_year_success,years_to_construction_success,years_to_graduation,years_active,years_to_dropout,cleantech,cost_band
344.0,Agnico Eagle Mines Limited,Hammond Reef,,ON,In Review,Mining,1281.377,48.88278,-91.349945,Private,Other,2021,In Review,2024,Approved,4,1,0,0,0,,,,4.0,,No,"$1,000M-$4,999M"
347.0,Pacific Booker Minerals Inc.,Morrison Copper Gold Project,,BC,In Review,Mining,517.0,55.194,-126.314,Private,Precious Metal,2020,In Review,2020,In Review,1,0,0,1,0,,,,,1.0,No,$500M-$999M
381.0,Ryan River Joint Venture Regional Power,Ryan River Hydro Project,,BC,In Review,Energy,140.0,50.3167,-122.8,Private,Clean Electricity,2018,In Review,2023,Announced & Planning,6,0,0,1,0,,,,,6.0,Yes,$100M-$499M
382.0,Evolution Mining,Bateman Gold,,ON,Announced & Planning,Mining,101.2,51.116,-93.75,Private,Precious Metal,2020,Announced & Planning,2024,Under Construction,5,1,0,0,1,2021.0,2.0,,5.0,,No,$100M-$499M
387.0,"Sea Breeze Pacific Juan de Fuca Cable, LP",Juan de Fuca Power Cable,,BC,In Review,Energy,480.0,48.433187,-123.410481,Private,Trans & Distr,2018,In Review,2023,Announced & Planning,6,0,0,1,0,,,,,6.0,No,$100M-$499M
404.0,Skygold Ventures Inc.,Spanish Mountain Copper-Gold Mines,,BC,In Review,Mining,,52.585112,-121.462784,Private,Precious Metal,2021,In Review,2024,In Review,4,1,0,0,0,,,,4.0,,No,
409.0,SCCC Petroleum Corporation,Red Earth Pilot,,AB,Approved,Energy,15.0,56.6682675,-115.3113151,Private,Other,2018,Approved,2018,Approved,1,0,0,1,0,,,,,1.0,Yes,<$100M
411.0,Callinex Mines Inc.,Nash Creek,,NB,Announced & Planning,Mining,168.0,47.87,-66.07,Private,Other,2020,Announced & Planning,2020,Announced & Planning,1,0,0,1,0,,,,,1.0,No,$100M-$499M
413.0,Spanish Mountain Gold Ltd.,Spanish Mountain Copper-Gold Mines,,BC,In Review,Mining,756.0,52.592,-121.465,Private,Precious Metal,2020,In Review,2024,In Review,5,1,0,0,0,,,,5.0,,No,$500M-$999M
417.0,Generation Mining Ltd.,Marathon PGM Copper Mine,,ON,In Review,Mining,431.0,48.782,-86.319,Private,Other,2020,In Review,2024,Approved,5,1,0,0,0,,,,5.0,,No,$100M-$499M
422.0,Suncor Energy Inc.,Lewis,,AB,In Review,Energy,,56.94062005,-111.0483456,Private,Clean Electricity,2020,In Review,2024,Announced & Planning,5,1,0,0,0,,,,5.0,,Yes,
425.0,"Suncor, ExxonMobil, Statoil, Husky Energy , Murphy Oil, Chevron, Mosbacher",Terra Nova (Asset Life Extension),,NL,In Review,Energy,338.0,46.7248,-48.47168,Private,Other,2018,In Review,2023,Under Construction,6,0,1,0,1,2023.0,6.0,6.0,,,Yes,$100M-$499M
439.0,Osisko Metals Inc/Appian,Pine Point,,NT,In Review,Mining,555.7,60.854,-114.424,Private,Other,2021,In Review,2024,In Review,4,1,0,0,0,,,,4.0,,No,$500M-$999M
440.0,Taseko Mines Ltd.,New Prosperity,,BC,In Review,Mining,1000.0,51.463,-123.624,Private,Other,2020,In Review,2020,In Review,1,0,0,1,0,,,,,1.0,No,"$1,000M-$4,999M"
441.0,Taseko Mines Ltd.,Harmony Gold Mine,,BC,In Review,Mining,50.0,53.514064,-132.397868,Private,Precious Metal,2020,In Review,2024,Announced & Planning,5,1,0,0,0,,,,5.0,,No,<$100M
442.0,Teck Resources Ltd.,Highland Valley Copper 2040 (HVC 2040),,BC,In Review,Mining,741.0,50.470726,-121.01857,Private,Base Metal,2023,In Review,2024,In Review,2,1,0,0,0,,,,2.0,,No,$500M-$999M
444.0,Conuma Resources Ltd.,Quintette Mine,,BC,In Review,Mining,500.0,54.986669,-121.09759,Private,Precious Metal,2024,In Review,2024,In Review,1,1,0,0,0,,,,1.0,,No,$500M-$999M
460.0,GoldMining Inc,Yellowknife Gold,,NT,In Review,Mining,193.0,63.182,-113.909,Private,Precious Metal,2020,In Review,2024,In Review,5,1,0,0,0,,,,5.0,,No,$100M-$499M
467.0,Vale,Copper Cliff Deep project,,ON,Announced & Planning,Mining,760.0,46.549417,-81.00769,Private,Base Metal,2018,Announced & Planning,2023,Under Construction,6,0,1,0,1,2020.0,3.0,6.0,,,No,$500M-$999M
473.0,Value Creation Inc.,Tristar' SAGD Pilot Project,,AB,In Review,Energy,,56.571589,-111.228436,Private,Oil & Gas - Upstream,2020,In Review,2022,In Review,3,0,0,1,0,,,,,3.0,No,
484.0,Conuma Coal Resources Ltd.,Belcourt/Saxon Coal Mines,,BC,In Review,Mining,100.0,54.711929,-120.959473,Private,Coal,2020,In Review,2021,In Review,2,0,0,1,0,,,,,2.0,No,$100M-$499M
485.0,Conuma Coal Resources Ltd.,Wolverine Coal Mine (Hermann Deposit),,BC,In Review,Mining,55.0,55.266598,-120.871582,Private,Coal,2020,In Review,2024,Approved,5,1,0,0,0,,,,5.0,,No,<$100M
499.0,Taseko Mines Ltd.,Yellowhead (formerly Harper Creek),,BC,In Review,Mining,839.0,51.519,-119.817,Private,Other,2020,In Review,2022,Announced & Planning,3,0,0,1,0,,,,,3.0,No,$500M-$999M
515.0,Athabasca Oil Corporation,Dover West Clastics,,AB,In Review,Energy,615.0,57.1005,-113.2251,Private,Oil & Gas - Upstream,2019,In Review,2024,In Review,6,1,0,0,0,,,,6.0,,No,$500M-$999M
528.0,Cardero Coal Ltd.,Carbon Creek Coal Mine,,BC,In Review,Mining,301.0,55.983773,-122.398885,Private,Coal,2020,In Review,2023,In Review,4,0,0,1,0,,,,,4.0,No,$100M-$499M
529.0,Cavalier Energy Inc.,Hoole (Paramount),,AB,Approved,Energy,452.0,56.0429,-113.6742,Private,Clean Electricity,2019,Approved,2023,Approved,5,0,0,1,0,,,,,5.0,Yes,$100M-$499M
530.0,Centermount Coal Limited,Bingay Main Metallurgical Coal,,BC,In Review,Mining,380.0,50.1826,-114.9877,Private,Coal,2019,In Review,2024,In Review,6,1,0,0,0,,,,6.0,,No,$100M-$499M
545.0,Holmes Hydro,Robson Valley Hydroelectric Project,,BC,In Review,Energy,200.0,53.3469,-119.8406,Public,Clean Electricity,2019,In Review,2024,In Review,6,1,0,0,0,,,,6.0,,Yes,$100M-$499M
564.0,Value Creation Inc.,Birchwood SAGD Oil Sands Project,,AB,Announced & Planning,Energy,510.0,56.833949,-112.192383,Private,Oil & Gas - Upstream,2023,Announced & Planning,2023,Announced & Planning,1,0,0,1,0,,,,,1.0,No,$500M-$999M
588.0,BridgePower,Rocky Creek Wind Energy Project,,BC,Announced & Planning,Energy,1500.0,55.2415,-121.8441,Private,Clean Electricity,2019,Announced & Planning,2019,Announced & Planning,1,0,0,1,0,,,,,1.0,Yes,"$1,000M-$4,999M"
606.0,Treasury Metals Inc.,Goliath Complex,,ON,In Review,Mining,133.2,49.764413,-92.544708,Private,Precious Metal,2018,In Review,2024,Approved,7,1,0,0,0,,,,7.0,,No,$100M-$499M
615.0,Labrador Iron Mines Holdings Ltd.,Direct Shipping Iron Ore (DSO) Houston Deposit,,NL,Approved,Mining,86.8,54.698043,-66.658859,Private,Base Metal,2021,Approved,2022,Approved,2,0,0,1,0,,,,,2.0,No,<$100M
620.0,KGHM International,Victoria Project,,ON,Announced & Planning,Mining,750.0,46.4235,-81.3864,Private,Other,2018,Announced & Planning,2024,Under Construction,7,1,0,0,1,2023.0,6.0,,7.0,,No,$500M-$999M
626.0,IAMGOLD Corp./Sumitomo Metal Mining,Cote Lake Project,,ON,Approved,Mining,1412.61,47.5474,-81.9363,Private,Precious Metal,2018,Approved,2024,Under Construction,7,1,0,0,1,2021.0,4.0,,7.0,,No,"$1,000M-$4,999M"
