time_years,H0_cumhaz,S0_survival,baseline_event_prob,adjusted_historical_prior
2,0.0790648000771016,0.9239800485267408,0.07601995147325924,0.07621273078303459
3,0.1850522770476856,0.8310608373094853,0.16893916269051468,0.16936757621283796
4,0.3275208600790353,0.72070825708753,0.27929174291247005,0.28
5,0.606360186930543,0.5453321682610014,0.4546678317389986,0.4558208257764985
6,0.9161264729696896,0.4000657089582792,0.5999342910417208,0.6014556668949831
7,1.5685393609546177,0.2083492833103721,0.7916507166896278,0.7936582670206783
