Unique ID,company,project,province,company_type,start_year,end_year,reporting_years,start_status,end_status,current_survival,end_success,project_cost,cost_percentile,latitude_1,longitude_1,sector,group,cleantech,abbreviation,_cost_quintile_bayes,p_bayes,risk_score,years_remaining,p_cox,blended_prob,priority_index,urgency_scale_(0-1),power_ranking
100,Alamos Gold Inc.,Lynn Lake (Gordon site),MB,Private,2018,2024,7,Announced & Planning,In Review,1,0,434.33,0.652,56.79,-100.82,Mining,Precious Metal,No,MIN-PM,2,0.5031664179324454,0.34512348358681216,0.25,0.017868073068062706,0.30904707998669234,1.2361883199467694,0.5173558659157675,0.39237059435832244
114,NWP Coal Canada Ltd.,Crown Mountain Coal Project,BC,Private,2017,2024,8,In Review,In Review,1,0,468.0,0.666,49.802,-114.729,Mining,Coal,No,MIN-COAL,2,0.0031145390422054144,0.1027271167914559,0.25,0.005352204439095898,0.004009605200961608,0.01603842080384643,0.006004927256917985,0.004807734023344159
126,Connacher Oil & Gas Ltd.,Great Divide,AB,Private,2017,2024,8,Approved,Approved,1,0,600.0,0.714,56.1135,-111.8293,Energy,Oil & Gas - Upstream,No,EN-OG-U,3,0.8657873010223243,0.8331364330517316,0.25,0.04259039872153114,0.536508540102007,2.146034160408028,0.8986619045275177,0.6813698858722113
130,Corporation Lithium Elements Critiques,Rose Lithium-Tantalum Mine,QC,Private,2017,2024,8,In Review,Approved,1,0,610.1,0.729,53.252069,-73.547974,Mining,Critical Mineral,Yes,MIN-CM,3,0.02158103222537332,0.29201945724590034,0.25,0.015139646667279183,0.019004478002135665,0.07601791200854266,0.031141649514851814,0.023859346607222123
140,Canadian Natural Resources Limited,Pike (Formely Kirby) ,AB,Private,2017,2024,8,Approved,Approved,1,0,7700.0,0.968,55.448219,-110.824021,Energy,Oil & Gas - Upstream,No,EN-OG-U,4,0.8376804620975785,0.7839496467849103,0.25,0.040127101977712076,0.5186591180496319,2.0746364721985278,0.8687399458324057,0.6586914491627415
165,WindRiver Power Corp.,Kinskuch Hydroelectric Project,BC,Private,2017,2024,8,In Review,In Review,1,0,300.0,0.574,57.857174,-129.979248,Energy,Clean Electricity,Yes,EN-CLEL,2,0.0965278997650245,0.323521774794583,0.25,0.01675911424411447,0.06462038555666048,0.25848154222664194,0.1076100806876656,0.08181626360906252
186,Fortune Minerals Limited,NICO Cobalt-Gold-Bismuth Mine,NT,Private,2017,2024,8,Approved,Approved,1,0,589.0,0.713,63.55,-116.75,Mining,Precious Metal,No,MIN-PM,3,0.3246966164038627,0.1834564741074119,0.25,0.009538190308145067,0.19863324596557563,0.7945329838623025,0.33226314015385866,0.2520852036408888
188,Fosthall Creek Power LP,Fosthall Creek Hydropower Project,BC,Private,2018,2024,7,Announced & Planning,Announced & Planning,1,0,50.0,0.214,50.241332,-117.801075,Energy,Clean Electricity,Yes,EN-CLEL,0,0.04813956042263472,0.3438202677586979,0.25,0.017801205832257083,0.036004218586483665,0.14401687434593466,0.059639240871026816,0.04545822750030093
205,Giga Metals Corp. & Mitsubishi Corporation,Turnagain Project ,BC,Private,2020,2024,5,Announced & Planning,Announced & Planning,1,0,2461.55,0.912,58.476,-128.826,Mining,Critical Mineral,Yes,MIN-CM,4,0.00487830793510563,0.12130477283927879,0.25,0.006317059159060667,0.005453808424687645,0.02181523369875058,0.008425923806883498,0.006642654577565986
207,Harvest Operations Corp.,BlackGold Oil Sands Project,AB,Private,2017,2024,8,Approved,Announced & Planning,1,0,540.0,0.702,55.5826391,-110.9730098,Energy,Oil & Gas - Upstream,No,EN-OG-U,2,0.856211100794633,0.8331364330517316,0.25,0.04259039872153114,0.5307628199653923,2.1230512798615693,0.8890300408124356,0.6740697083042098
209,HD Mining International Ltd.,Murray River Coal Project,BC,Private,2017,2024,8,In Review,Approved,1,0,668.0,0.738,55.126784,-120.993032,Mining,Coal,No,MIN-COAL,3,0.0033732084632678364,0.1027271167914559,0.25,0.005352204439095898,0.004164806853599061,0.016659227414396245,0.006265100243247988,0.005004924209458632
238,Karnalyte Resources Inc,Wynyard Potash Project,SK,Private,2017,2024,8,In Review,Approved,1,0,789.0,0.775,51.709,-104.057,Mining,Precious Metal,No,MIN-PM,3,0.1708565805046175,0.29399119366916854,0.25,0.015241087675758047,0.10861038337307372,0.43444153349229486,0.18135291078034346,0.13770739433598161
256,NorthWest Copper,Lorraine-Jayjay Copper Mine,BC,Private,2020,2024,5,In Review,In Review,1,0,100.0,0.343,55.91667,-125.58333,Mining,Base Metal,No,MIN-BM,1,0.023465996482265196,0.11602217821202393,0.25,0.006042796010110707,0.0164967162934034,0.0659868651736136,0.026937751929501916,0.020673130547842807
283,Mount Hays Wind Farm Limited Partnership,Mount Hays Wind Farm,BC,Private,2017,2024,8,In Review,Announced & Planning,1,0,125.0,0.403,54.291483,-130.308203,Energy,Clean Electricity,Yes,EN-CLEL,1,0.1168257463906096,0.323521774794583,0.25,0.01675911424411447,0.07679909353201153,0.3071963741280461,0.128025912412021,0.09728982108401532
