alpha,alpha_label,Δp_mean,Δp_median,Δp_p10,Δp_p90,ΔEV_sum,uplift_%_EV,net_new_crossers
0.25,Guidance,0.017907587805315112,0.018459031378598695,0.0036037343992806918,0.029055779540297737,6496.05476230997,0.05269759918390564,20
0.5,Priority,0.03626781124271911,0.037561452790245586,0.007845479738056316,0.057867511562664724,13116.222139851696,0.10640203052832459,48
0.75,Mandate,0.055105981658421996,0.056886800996344467,0.01282571136338796,0.08697645346177549,19898.621355611886,0.16142252657633985,59
1.0,Emergency,0.07444381600036973,0.07725068193734569,0.018684032509458066,0.11725874298574206,26884.140528562515,0.21809078183851352,69
