time_years,H0_cumhaz,S0_survival
2,0.07906480007710169,0.9239800485267408
3,0.18505227704768568,0.8310608373094853
4,0.32752086007903536,0.72070825708753
5,0.606360186930543,0.5453321682610014
6,0.9161264729696895,0.40006570895827925
7,1.5685393609546177,0.20834928331037217
