Unique ID,project_x,company_x,province_x,sector_x,group_x,start_year_x,end_year_x,reporting_years_x,project_cost_x,cleantech_x,p_bayes_x,p_cox_x,blended_prob_x,priority_index_x,urgency_scale_(0-1)_x,power_ranking_x,EV_disc_x,EV_cum_x,EV_disc_base_x,EV_base_x,company_y,project_y,province_y,company_type,start_year_y,end_year_y,reporting_years_y,start_status,end_status,current_survival,end_success,project_cost_y,cost_percentile,latitude_1,longitude_1,sector_y,group_y,cleantech_y,abbreviation,greenfield_flag,FOAK_flag,_cost_quintile_bayes,p_bayes_y,risk_score,years_remaining,p_cox_y,blended_prob_y,priority_index_y,urgency_scale_(0-1)_y,power_ranking_y,value_mode,value_proxy_amount,p_source_used,annual_p_2025,annual_p_2026,annual_p_2027,annual_p_2028,annual_p_2029,EV_2025,EV_2026,EV_2027,EV_2028,EV_2029,EV_cum_y,EV_disc_y,blended_prob.1,E_FID_year,cost_basis,DevCost,PV_OUT_per_DevCost,PV_IN_per_DevCost_k,PV_MOIC_k,k_star,IRR_k,k_star_adj,EV_base_y,EV_disc_base_y,years_in_pipeline_ind_only,blended_overlay_ind_only,delta_blended_ind_only,EV_overlay_ind_only,delta_EV_ind_only,EV_disc_overlay_ind_only,delta_EV_disc_ind_only,cross_over_to_favorite_ind_only,cross_out_to_underdog_ind_only,years_in_pipeline_mpo_only,blended_overlay_mpo_only,delta_blended_mpo_only,EV_overlay_mpo_only,delta_EV_mpo_only,EV_disc_overlay_mpo_only,delta_EV_disc_mpo_only,cross_over_to_favorite_mpo_only,cross_out_to_underdog_mpo_only,years_in_pipeline_ind_mpo,blended_overlay_ind_mpo,delta_blended_ind_mpo,EV_overlay_ind_mpo,delta_EV_ind_mpo,EV_disc_overlay_ind_mpo,delta_EV_disc_ind_mpo,cross_over_to_favorite_ind_mpo,cross_out_to_underdog_ind_mpo,blended_0.25,Δp_0.25,EV_disc_0.25,blended_0.5,Δp_0.5,EV_disc_0.5,blended_0.75,Δp_0.75,EV_disc_0.75,blended_1.0,Δp_1.0,EV_disc_1.0,blended_prob,blended_prob_mpo,delta_p_mpo,EV_mpo,EV_disc_mpo,blended_prob_indigenous,delta_p_indigenous,EV_indigenous,EV_disc_indigenous,blended_prob_combined,delta_p_combined,EV_combined,EV_disc_combined,blended_prob_override_0.25,delta_p_override_0.25,blended_prob_override_0.5,delta_p_override_0.5,blended_prob_override_0.75,delta_p_override_0.75,blended_prob_override_1.0,delta_p_override_1.0,crosser_mpo,dropout_mpo,crosser_indigenous,dropout_indigenous,crosser_combined,dropout_combined,crosser_override_0.25,dropout_override_0.25,crosser_override_0.5,dropout_override_0.5,crosser_override_0.75,dropout_override_0.75,crosser_override_1.0,dropout_override_1.0
0,Vista Coal Project (Expansion Projects),"Bighorn Mining, LTD",AB,Mining,Coal,2018,2024,7,870.0,No,0.1879833979973014,0.0636089214702666,0.125796159733784,0.5031846389351362,0.2033871554046397,0.1568325580021263,109.4426589683921,109.4426589683921,109.4426589683921,109.4426589683921,"Bighorn Mining, LTD",Vista Coal Project (Expansion Projects),AB,Private,2018,2024,7,Announced & Planning,In Review,1,0,870.0,0.789,53.33,-117.53,Mining,Coal,0,MIN-COAL,0,0,3,0.187983,0.108388,0.25,0.063609,0.125796,0.503185,0.203387,0.156833,capex,870.0,blended_prob,0.121867,0.002068,0.000861,0.000566,0.000434,106.024332,1.799301,0.749108,0.492629,0.377288,109.442659,109.442659,0.125796,2025.057423,870.0,26.1,0.160788,0.110646,0.68815,1.453172,-0.0,11.5518,109.442659,13.767466,,0.125796,0.0,109.442659,0.0,13.767466,0.0,0,0,,0.188146,0.06235,163.68734,54.244681,20.591239,6.823773,0,0,,0.188146,0.06235,163.68734,54.244681,20.591239,6.823773,0,0,0.1450280061501696,0.0192318464163856,126.1743653506476,0.1664448668827304,0.0406487071489464,144.8070341879755,0.1900543552700967,0.0642581955363127,165.34728908498417,0.2157962670195218,0.0900001072857378,187.742752306984,0.125796159733784,0.188146,0.06235,163.68734,20.591239,0.125796,0.0,109.442659,13.767466,0.188146,0.06235,163.68734,20.591239,0.1450280061501696,0.019231846416385617,0.1664448668827304,0.04064870714894642,0.1900543552700967,0.0642581955363127,0.2157962670195218,0.09000010728573779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Hackney Hills Wind Park,Aeolis Wind Power Corporation,BC,Energy,Clean Electricity,2017,2024,8,850.0,Yes,0.1463454577998943,0.0179119715588282,0.0821287146793613,0.3285148587174453,0.132511751539871,0.1022819294235652,69.80940747745711,69.80940747745711,,,Aeolis Wind Power Corporation,Hackney Hills Wind Park,BC,Private,2017,2024,8,In Review,In Review,1,0,850.0,0.786,56.249263,-120.847549,Energy,Clean Electricity,1,EN-CLEL,1,0,3,0.146345,0.029808,0.25,0.017912,0.082129,0.328515,0.132512,0.102282,capex,850.0,blended_prob,0.079438,0.001384,0.000592,0.0004,0.000314,67.522514,1.176765,0.503122,0.339775,0.267232,69.809407,69.809407,0.082129,2025.061185,850.0,25.5,0.111681,0.07221,0.646568,1.546627,0.0,18.831742,69.809407,5.733357,,0.082129,0.0,69.809407,0.0,5.733357,0.0,0,0,,0.136826,0.054697,116.301886,46.492478,9.551724,3.818367,0,0,,0.136826,0.054697,116.301886,46.492478,9.551724,3.818367,0,0,0.0958136395860664,0.0136849249067051,81.44159364815644,0.1112894774447095,0.0291607627653482,94.59605582800314,0.1286212605612185,0.0464925458818572,109.3280714770358,0.1478221500614011,0.0656934353820398,125.64882755219097,0.0821287146793613,0.136826,0.054697,116.301886,9.551724,0.082129,0.0,69.809407,5.733357,0.136826,0.054697,116.301886,9.551724,0.0958136395860664,0.013684924906705101,0.1112894774447095,0.029160762765348208,0.1286212605612185,0.04649254588185721,0.1478221500614011,0.0656934353820398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Kamistiatusset (Kami),Champion Iron Limited,NL,Mining,Base Metal,2017,2024,8,3864.0,No,0.4241062709409797,0.0202692641204377,0.2221877675307087,0.8887510701228349,0.3598376672966675,0.2772477274370922,858.5335337386587,858.5335337386587,,,Champion Iron Limited,Kamistiatusset (Kami),NL,Private,2017,2024,8,Approved,In Review,1,0,3864.0,0.935,52.824,-67.027,Mining,Base Metal,0,MIN-BM,1,0,4,0.424106,0.033771,0.25,0.020269,0.222188,0.888751,0.359838,0.277248,capex,3864.0,blended_prob,0.215926,0.003456,0.001357,0.000841,0.000608,834.339769,13.352473,5.242311,3.251012,2.347969,858.533534,858.533534,0.222188,2025.050064,3864.0,115.92,0.302323,0.195578,0.646916,1.545796,0.0,6.957163,858.533534,190.755649,,0.222188,0.0,858.533534,0.0,190.755649,0.0,0,0,,0.336016,0.113828,1298.364125,439.830591,288.480626,97.724977,0,0,,0.336016,0.113828,1298.364125,439.830591,288.480626,97.724977,0,0,0.2466808514298871,0.0244930838991784,953.1748099250842,0.2716046694301098,0.0494169018994011,1049.480442677945,0.2965729058532163,0.0743851383225076,1145.9577082168282,0.3212121852867392,0.0990244177560305,1241.1638839479606,0.2221877675307087,0.336016,0.113828,1298.364125,288.480626,0.222188,0.0,858.533534,190.755649,0.336016,0.113828,1298.364125,288.480626,0.2466808514298871,0.024493083899178397,0.2716046694301098,0.049416901899401094,0.2965729058532163,0.07438513832250757,0.3212121852867392,0.09902441775603052,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Snow Lake,Kinross Gold Corp. (formerly Rockcliff Metals Corp.),MB,Mining,Critical Mineral,2021,2024,4,96.1,Yes,0.4448609633601592,0.0892111004098903,0.2670360318850248,0.2670360318850248,0.1075656121707744,0.2032478639993246,25.66216266415088,25.66216266415088,,,Kinross Gold Corp. (formerly Rockcliff Metals Corp.),Snow Lake,MB,Private,2021,2024,4,Announced & Planning,Announced & Planning,1,0,96.1,0.339,54.91,-100.031,Mining,Critical Mineral,1,MIN-CM,1,0,1,0.444861,0.154107,1.0,0.089211,0.267036,0.267036,0.107566,0.203248,capex,96.1,blended_prob,0.099211,0.057795,0.043232,0.035739,0.031059,9.534161,5.554143,4.154562,3.434495,2.9848,25.662163,25.662163,0.267036,2026.406972,96.1,2.883,0.262215,0.201798,0.769591,1.299391,-0.0,4.865975,25.662163,6.852722,,0.267036,0.0,25.662163,0.0,6.852722,0.0,0,0,,0.305956,0.03892,29.402402,3.740239,7.851501,0.998779,0,0,,0.305956,0.03892,29.402402,3.740239,7.851501,0.998779,0,0,0.295992246043179,0.0289562141581542,28.444854844749504,0.3256882513981806,0.0586522195131558,31.29864095936516,0.3557833579754541,0.0887473260904292,34.190780701441135,0.3859627689687249,0.1189267370837001,37.09102209789447,0.2670360318850248,0.305956,0.03892,29.402402,7.851501,0.267036,0.0,25.662163,6.852722,0.305956,0.03892,29.402402,7.851501,0.295992246043179,0.028956214158154192,0.3256882513981806,0.0586522195131558,0.3557833579754541,0.08874732609042929,0.3859627689687249,0.11892673708370011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Clean Methanol Plant,Blue Fuel Energy Corp.,BC,Energy,Low Carbon Fuels,2017,2024,8,2500.0,Yes,0.0233364928733396,0.0049491957076089,0.0141428442904743,0.0565713771618972,0.0221657943879272,0.0173520243294554,35.35711072618575,35.35711072618575,,,Blue Fuel Energy Corp.,Clean Methanol Plant,BC,Private,2017,2024,8,Announced & Planning,Announced & Planning,1,0,2500.0,0.912,55.698147,-121.629689,Energy,Low Carbon Fuels,1,EN-LCF,1,1,4,0.023336,0.008182,0.25,0.004949,0.014143,0.056571,0.022166,0.017352,capex,2500.0,blended_prob,0.013643,0.000248,0.00011,7.8e-05,6.4e-05,34.107899,0.619537,0.276072,0.194317,0.159286,35.357111,35.357111,0.014143,2025.067646,2500.0,75.0,0.019225,0.012426,0.646368,1.547107,0.0,109.39152,35.357111,0.50005,,0.014143,0.0,35.357111,0.0,0.50005,0.0,0,0,,0.024784,0.010642,61.961154,26.604043,0.876307,0.376257,0,0,,0.024784,0.010642,61.961154,26.604043,0.876307,0.376257,0,0,0.0168103410763289,0.0026674967858546,42.02585269082235,0.019974040658843,0.0058311963683687,49.935101647107565,0.0237202829934157,0.0095774387029414,59.30070748353934,0.0281475092958091,0.0140046650053348,70.36877323952277,0.0141428442904743,0.024784,0.010642,61.961154,0.876307,0.014143,0.0,35.357111,0.50005,0.024784,0.010642,61.961154,0.876307,0.0168103410763289,0.0026674967858546002,0.019974040658843,0.005831196368368699,0.0237202829934157,0.009577438702941398,0.0281475092958091,0.0140046650053348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Gething Coal Project,"Canadian Kailuan Dehua Mines Co., Ltd.",BC,Mining,Coal,2019,2024,6,1360.0,No,0.0035527838159777,0.0033281454840307,0.0034404646500042,0.0137618586000169,0.0047950625214983,0.0039823037986018,4.679031924005712,4.679031924005712,,,"Canadian Kailuan Dehua Mines Co., Ltd.",Gething Coal Project,BC,Private,2019,2024,6,In Review,In Review,1,0,1360.0,0.853,55.8753,-121.9153,Mining,Coal,0,MIN-COAL,1,0,4,0.003553,0.005498,0.25,0.003328,0.00344,0.013762,0.004795,0.003982,capex,1360.0,blended_prob,0.003317,6.1e-05,2.7e-05,1.9e-05,1.6e-05,4.511711,0.082486,0.036997,0.026211,0.021626,4.679032,4.679032,0.00344,2025.068736,1360.0,40.8,0.004131,0.003023,0.731648,1.366778,-2e-06,397.265405,4.679032,0.016098,,0.00344,0.0,4.679032,0.0,0.016098,0.0,0,0,,0.005029,0.001589,6.83965,2.160618,0.023532,0.007434,0,0,,0.005029,0.001589,6.83965,2.160618,0.023532,0.007434,0,0,0.0040263920898996,0.0005859274398954,5.47589324226348,0.0047161646908335,0.0012757000408293,6.413983979533562,0.005528701236067,0.0020882365860628,7.519033681051221,0.0064863860235714,0.0030459213735672,8.821484992057197,0.0034404646500042,0.005029,0.001589,6.83965,0.023532,0.00344,0.0,4.679032,0.016098,0.005029,0.001589,6.83965,0.023532,0.0040263920898996,0.0005859274398954,0.0047161646908335,0.0012757000408292998,0.005528701236067,0.0020882365860627997,0.0064863860235714,0.0030459213735672002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Grouse,Canadian Natural Resources Limited,AB,Energy,Oil & Gas - Upstream,2017,2024,8,1530.0,No,0.7345401381813054,0.1686582174566914,0.4515991778189984,1.806396711275993,0.7321888853517731,0.5638350608321083,690.9467420630674,690.9467420630674,,,Canadian Natural Resources Limited,Grouse,AB,Private,2017,2024,8,In Review,In Review,1,0,1530.0,0.868,55.466292,-111.755766,Energy,Oil & Gas - Upstream,0,EN-OG-U,1,0,4,0.73454,0.304628,0.25,0.168658,0.451599,1.806397,0.732189,0.563835,capex,1530.0,blended_prob,0.441514,0.006145,0.002098,0.001132,0.000711,675.515857,9.401844,3.210206,1.73136,1.087477,690.946742,690.946742,0.451599,2025.036712,1530.0,45.9,0.614929,0.398066,0.647337,1.544791,0.0,3.420712,690.946742,312.030981,,0.451599,0.0,690.946742,0.0,312.030981,0.0,0,0,,0.593306,0.141707,907.758334,216.811592,409.942917,97.911937,1,0,,0.593306,0.141707,907.758334,216.811592,409.942917,97.911937,1,0,0.4791590560508074,0.027559878231809,733.1133557577352,0.5060924227850325,0.0544932449660341,774.3214068610996,0.5324579354409217,0.0808587576219233,814.66064122461,0.5583603546164706,0.1067611767974722,854.2913425631999,0.4515991778189984,0.593306,0.141707,907.758334,409.942917,0.451599,0.0,690.946742,312.030981,0.593306,0.141707,907.758334,409.942917,0.4791590560508074,0.027559878231809,0.5060924227850325,0.05449324496603414,0.5324579354409217,0.0808587576219233,0.5583603546164706,0.10676117679747221,1,0,0,0,1,0,0,0,1,0,1,0,1,0
92,Prairie Creek,NorZinc,NT,Mining,Critical Mineral,2017,2024,8,474.0,Yes,0.098223061477317,0.0647728704286856,0.0814979659530013,0.3259918638120053,0.1314880009938467,0.1014939799693394,38.63003586172261,38.63003586172261,,,NorZinc,Prairie Creek,NT,Private,2017,2024,8,In Review,Approved,1,0,474.0,0.667,61.56,-124.794,Mining,Critical Mineral,1,MIN-CM,1,0,2,0.098223,0.110439,0.25,0.064773,0.081498,0.325992,0.131488,0.101494,capex,474.0,blended_prob,0.078826,0.001374,0.000588,0.000397,0.000312,37.363673,0.651415,0.278617,0.188232,0.1481,38.630036,38.630036,0.081498,2025.061241,474.0,14.22,0.110823,0.071655,0.646567,1.546631,0.0,18.977541,38.630036,3.148269,,0.081498,0.0,38.630036,0.0,3.148269,0.0,0,0,,0.135837,0.054339,64.386782,25.756746,5.247392,2.099122,0,0,,0.135837,0.054339,64.386782,25.756746,5.247392,2.099122,0,0,0.0946009759870642,0.0131030100340629,44.84086261786846,0.1095964142567743,0.028098448303773,51.94870035771101,0.1266615796818919,0.0451636137288906,60.03758876921677,0.1459555700804836,0.0644576041274823,69.18294021814923,0.0814979659530013,0.135837,0.054339,64.386782,5.247392,0.081498,0.0,38.630036,3.148269,0.135837,0.054339,64.386782,5.247392,0.0946009759870642,0.013103010034062904,0.1095964142567743,0.028098448303773005,0.1266615796818919,0.045163613728890606,0.1459555700804836,0.0644576041274823,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,New Polaris Gold Mine,Canagold Resources Ltd.,BC,Mining,Other,2020,2024,5,143.7,No,0.0212179312538175,0.0050945070305867,0.0131562191422021,0.0526248765688085,0.02056443081468,0.0161195038111932,1.890548690734441,1.890548690734441,,,Canagold Resources Ltd.,New Polaris Gold Mine,BC,Private,2020,2024,5,In Review,In Review,1,0,143.7,0.433,58.701,-133.64,Mining,Other,0,MIN-OTH,1,0,1,0.021218,0.008423,0.25,0.005095,0.013156,0.052625,0.020564,0.01612,capex,143.7,blended_prob,0.012691,0.000231,0.000103,7.2e-05,5.9e-05,1.823679,0.033145,0.014779,0.010408,0.008537,1.890549,1.890549,0.013156,2025.067746,143.7,4.311,0.014847,0.011559,0.778563,1.284417,3e-06,97.628108,1.890549,0.024872,,0.013156,0.0,1.890549,0.0,0.024872,0.0,0,0,,0.017435,0.004279,2.50541,0.614861,0.032962,0.008089,0,0,,0.017435,0.004279,2.50541,0.614861,0.032962,0.008089,0,0,0.015626538970697,0.0024703198284949,2.24553365008917,0.0185567294757017,0.0054005103334996,2.66660202565834,0.0220276562175565,0.0088714370753544,3.16537419846288,0.0261319787289882,0.0129757595867861,3.7551653433556114,0.0131562191422021,0.017435,0.004279,2.50541,0.032962,0.013156,0.0,1.890549,0.024872,0.017435,0.004279,2.50541,0.032962,0.015626538970697,0.0024703198284949015,0.0185567294757017,0.005400510333499602,0.0220276562175565,0.008871437075354401,0.0261319787289882,0.0129757595867861,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Kutcho Creek,Kutcho Copper Corp.,BC,Mining,Critical Mineral,2018,2024,7,483.0,Yes,0.0089164656073429,0.0048804585626069,0.0068984620849749,0.0275938483398999,0.0104076410559519,0.0083021336733657,3.331957187042876,3.331957187042876,,,Kutcho Copper Corp.,Kutcho Creek,BC,Private,2018,2024,7,Announced & Planning,In Review,1,0,483.0,0.674,58.205,-128.358,Mining,Critical Mineral,1,MIN-CM,1,0,2,0.008916,0.008068,0.25,0.00488,0.006898,0.027594,0.010408,0.008302,capex,483.0,blended_prob,0.006653,0.000121,5.4e-05,3.8e-05,3.2e-05,3.213271,0.058624,0.026239,0.01855,0.015273,3.331957,3.331957,0.006898,2025.068382,483.0,14.49,0.008812,0.006061,0.687788,1.453937,3e-06,210.762503,3.331957,0.022985,,0.006898,0.0,3.331957,0.0,0.022985,0.0,0,0,,0.011063,0.004165,5.343645,2.011688,0.036863,0.013878,0,0,,0.011063,0.004165,5.343645,2.011688,0.036863,0.013878,0,0,0.0081320270784639,0.001233564993489,3.9277690788980855,0.0095916230538361,0.0026931609688612,4.632753935002855,0.011318684173081,0.0044202220881061,5.466924455598131,0.0133618908836557,0.0064634287986808,6.453793296805709,0.0068984620849749,0.011063,0.004165,5.343645,0.036863,0.006898,0.0,3.331957,0.022985,0.011063,0.004165,5.343645,0.036863,0.0081320270784639,0.0012335649934890006,0.0095916230538361,0.0026931609688611996,0.011318684173081,0.0044202220881061,0.0133618908836557,0.0064634287986808005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
