Unique ID,company,project,province,group,sector,reporting_years,_cost_quintile_bayes,cost_percentile,cleantech,greenfield_flag,FOAK_flag,indigenous_flag_overlay,mpo_flag,overlay_mode,p_bayes,risk_score,risk_score_adj,p_cox_engine,blended_engine,t0_orig,t0_adj,delta_t,knot_before,knot_after,knot_changed,p_cox_cond_status,p_cox_cond_overlay,delta_p_cox_cond,blended_status,blended_overlay,delta_blended,years_remaining_status,years_remaining_overlay,priority_index_status,priority_index_overlay,delta_priority_index,EV_status,EV_overlay,delta_EV
130,Corporation Lithium Elements Critiques,Rose Lithium-Tantalum Mine,QC,Critical Mineral,Mining,8,3,0.728,Yes,1,0,1,0,indigenous_only,0.01814049977337084,0.03637339144519333,0.04001073058971267,0.0218139349066806,0.01997721734002572,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.00907024988668542,0.00907024988668542,0.0,0.25,0.25,0.03628099954674168,0.03628099954674168,0.0,5.533759455866775,5.533759455866775,0.0
140,Canadian Natural Resources Limited,Pike (Formely Kirby),AB,Oil & Gas - Upstream,Energy,8,4,0.967,No,1,0,1,0,indigenous_only,0.8121271970440334,0.27548331421694894,0.3030316456386439,0.1538360246823235,0.4829816108631784,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.4060635985220167,0.4060635985220167,0.0,0.25,0.25,1.6242543940880667,1.6242543940880667,0.0,3126.6897086195286,3126.6897086195286,0.0
165,WindRiver Power Corp.,Kinskuch Hydroelectric Project,BC,Clean Electricity,Energy,8,2,0.573,Yes,1,0,1,0,indigenous_only,0.08214215401522039,0.037008136913726716,0.04070895060509939,0.022190351001816433,0.05216625250851841,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.041071077007610195,0.041071077007610195,0.0,0.25,0.25,0.16428430803044078,0.16428430803044078,0.0,12.321323102283058,12.321323102283058,0.0
186,Fortune Minerals Limited,NICO Cobalt-Gold-Bismuth Mine,NT,Precious Metal,Mining,8,3,0.712,No,1,0,1,0,indigenous_only,0.2871126354914788,0.08622647891386837,0.09484912680525522,0.05094099266743224,0.16902681407945552,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.1435563177457394,0.1435563177457394,0.0,0.25,0.25,0.5742252709829576,0.5742252709829576,0.0,84.5546711522405,84.5546711522405,0.0
188,Fosthall Creek Power LP,Fosthall Creek Hydropower Project,BC,Clean Electricity,Energy,7,0,0.214,Yes,1,0,1,0,indigenous_only,0.040640835064079305,0.05329317438419926,0.058622491822619194,0.03179831310868775,0.03621957408638353,7.0,6.0,-1.0,4,4,0,0.0,0.0,0.0,0.020320417532039652,0.020320417532039652,0.0,0.25,0.25,0.08128167012815861,0.08128167012815861,0.0,1.0160208766019827,1.0160208766019827,0.0
205,Giga Metals Corp. & Mitsubishi Corporation,Turnagain Project,BC,Critical Mineral,Mining,5,4,0.912,Yes,1,0,1,0,indigenous_only,0.004089459372311329,0.006335734417601101,0.006969307859361212,0.003834367074731837,0.003961913223521582,5.0,4.0,-1.0,4,4,0,0.0,0.0019414300939821771,0.0019414300939821771,0.0020447296861556643,0.003015444733146753,0.0009707150469910886,0.25,1.0,0.008178918744622657,0.003015444733146753,-0.005163474011475905,5.033204358956476,7.42266798287739,2.389463623920914
207,Harvest Operations Corp.,BlackGold Oil Sands Project,AB,Oil & Gas - Upstream,Energy,8,2,0.701,No,1,0,1,0,indigenous_only,0.8329934386661862,0.3609460749355137,0.39704068242906515,0.19656848393828896,0.5147809613022376,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.4164967193330931,0.4164967193330931,0.0,0.25,0.25,1.6659868773323725,1.6659868773323725,0.0,224.9082284398703,224.9082284398703,0.0
209,HD Mining International Ltd.,Murray River Coal Project,BC,Coal,Mining,8,3,0.737,No,1,0,1,0,indigenous_only,0.002827051130956987,0.006185417167790704,0.006803958884569776,0.00374356602974546,0.0032853085803512235,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.0014135255654784936,0.0014135255654784936,0.0,0.25,0.25,0.005654102261913974,0.005654102261913974,0.0,0.9442350777396337,0.9442350777396337,0.0
238,Karnalyte Resources Inc,Wynyard Potash Project,SK,Precious Metal,Mining,8,3,0.774,No,1,0,1,0,indigenous_only,0.14719826135825156,0.07493395805988781,0.0824273538658766,0.04442016799862469,0.09580921467843813,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.07359913067912578,0.07359913067912578,0.0,0.25,0.25,0.29439652271650313,0.29439652271650313,0.0,58.06971410583024,58.06971410583024,0.0
256,NorthWest Copper,Lorraine-Jayjay Copper Mine,BC,Base Metal,Mining,5,1,0.342,No,1,0,1,0,indigenous_only,0.019731015784738647,0.00923899889175768,0.010162898780933448,0.005586498252827754,0.0126587570187832,5.0,4.0,-1.0,4,4,0,0.0,0.002829804388932322,0.002829804388932322,0.009865507892369323,0.011280410086835484,0.001414902194466161,0.25,1.0,0.03946203156947729,0.011280410086835484,-0.02818162148264181,0.9865507892369323,1.1280410086835484,0.1414902194466161
283,Mount Hays Wind Farm Limited Partnership,Mount Hays Wind Farm,BC,Clean Electricity,Energy,8,1,0.402,Yes,1,0,1,0,indigenous_only,0.0997489540319515,0.04402857148447161,0.04843142863291878,0.026343953615757254,0.06304645382385438,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.04987447701597575,0.04987447701597575,0.0,0.25,0.25,0.199497908063903,0.199497908063903,0.0,6.234309626996969,6.234309626996969,0.0
314,Ring of Fire Metals Pty Ltd.,Eagle's Nest (McFaulds Lake),ON,Critical Mineral,Mining,8,3,0.726,Yes,1,0,1,0,indigenous_only,0.3691284748828937,0.11430604618559848,0.12573665080415833,0.06696319932620609,0.2180458371045499,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.18456423744144684,0.18456423744144684,0.0,0.25,0.25,0.7382569497657874,0.7382569497657874,0.0,112.4734462968177,112.4734462968177,0.0
329,Northcliff Resources (HDI Mining),Sisson Project,NB,Other,Mining,8,3,0.707,No,1,0,1,0,indigenous_only,0.37938738510148756,0.02527259356747949,0.02779985292422744,0.015207475044725527,0.19729743007310654,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.18969369255074378,0.18969369255074378,0.0,0.25,0.25,0.7587747702029751,0.7587747702029751,0.0,109.83264798688064,109.83264798688064,0.0
341,Osum Oil Sands Corp.,Taiga,AB,Oil & Gas - Upstream,Energy,8,4,0.871,No,1,0,1,0,indigenous_only,0.8121271970440334,0.3037009181815048,0.3340710099996553,0.16819076184995996,0.49015897944699666,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.4060635985220167,0.4060635985220167,0.0,0.25,0.25,1.6242543940880667,1.6242543940880667,0.0,637.5198496795662,637.5198496795662,0.0
344,Agnico Eagle Mines Limited,Hammond Reef,ON,Other,Mining,4,4,0.842,No,1,0,1,0,indigenous_only,0.7171953489084919,0.0830357961674907,0.09133937578423977,0.049103068025697194,0.38314920846709455,4.0,3.0,-1.0,4,3,1,0.022887656682916813,0.037750976378588375,0.014863319695671562,0.37004150279570436,0.37747316264354014,0.007431659847835781,1.0,2.0,0.37004150279570436,0.18873658132177007,-0.1813049214739343,481.0539536344157,490.7151114366022,9.661157802186494
371,Metaux Torngat ltee,Strange Lake / B-Zone,QC,Other,Mining,8,4,0.881,No,1,0,1,0,indigenous_only,0.030723743664143086,0.025448210080337975,0.027993031088371773,0.015312336926695203,0.023018040295419144,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.015361871832071543,0.015361871832071543,0.0,0.25,0.25,0.06144748732828617,0.06144748732828617,0.0,25.055212958108687,25.055212958108687,0.0
376,Magneto Investments Limited Partnership,Dumont,QC,Critical Mineral,Mining,8,4,0.854,Yes,1,0,1,0,indigenous_only,0.014565243979719299,0.0320035653768635,0.03520392191454986,0.019218609605202053,0.016891926792460675,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.0072826219898596495,0.0072826219898596495,0.0,0.25,0.25,0.029130487959438598,0.029130487959438598,0.0,10.057300967996175,10.057300967996175,0.0
390,Seabridge Gold Inc.,Kerr-Sulphurets-Mitchell (KSM),BC,Precious Metal,Mining,8,4,0.971,No,1,0,1,0,indigenous_only,0.011082647599209206,0.004876844479222313,0.005364528927144545,0.002952756344520302,0.007017701971864754,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.005541323799604603,0.005541323799604603,0.0,0.25,0.25,0.02216529519841841,0.02216529519841841,0.0,46.33433308277385,46.33433308277385,0.0
399,Canadian Natural Resources Limited,AOSP Jackpine,AB,Other,Energy,8,4,0.98,Yes,1,0,1,0,indigenous_only,0.8599744071107621,0.3326520871140996,0.3659172958255096,0.18266561323055197,0.521320010170657,8.0,7.0,-1.0,4,4,0,0.0,0.0,0.0,0.42998720355538106,0.42998720355538106,0.0,0.25,0.25,1.7199488142215242,1.7199488142215242,0.0,5159.846442664572,5159.846442664572,0.0
404,Skygold Ventures Inc.,Spanish Mountain Copper-Gold Mines,BC,Precious Metal,Mining,4,3,0.762,No,1,0,1,0,indigenous_only,0.034180403778301845,0.006030316960071795,0.006633348656078975,0.0036498671024598472,0.018915135440380846,4.0,3.0,-1.0,4,3,1,0.0016800766103844955,0.0027907807686762265,0.001110704158291731,0.01793024019434317,0.018485592273489036,0.0005553520791458655,1.0,2.0,0.01793024019434317,0.009242796136744518,-0.008687444057598652,13.555261586923436,13.97510775875771,0.41984617183427453
