cleantech,n,mean_delta_blended,sum_delta_EV,cross_over_to_favorite,cross_out_to_underdog,sum_delta_EV_disc,scenario_key
0,162,0.037171,9829.992131,20,0,3165.787841,mpi_ind
1,202,0.02736,6217.328307,14,0,2795.329463,mpi_ind
