sector,n,mean_delta_blended,sum_delta_EV,cross_over_to_favorite,cross_out_to_underdog,sum_delta_EV_disc,scenario_key
Energy,235,0.0,0.0,0,0,0.0,ind_only
Forest,17,0.0,0.0,0,0,0.0,ind_only
Mining,112,0.0,0.0,0,0,0.0,ind_only
